Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Gegner
2025-08-24_HCR_A,ZOE Gegner: 21,D1,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 22,D1,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 23,D1,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 24,D1,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 25,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 26,D3,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 27,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 28,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 29,D3,L1,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 30,D3,L1,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 31,D3,L1,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 32,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 33,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 34,D3,L3,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 35,D3,L2,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 36,D3,L2,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 37,D3,L2,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 38,D3,L3,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 39,D3,L2,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 40,D3,L1,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 41,D3,L1,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 42,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 43,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 44,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 45,D3,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 46,D3,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 47,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 48,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 49,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 50,D3,L1,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 51,D3,L1,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 52,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,Zone-Exits For: 1,D1,L1,,5:5,,,,,Zone-Exits,,Bad,
2025-08-24_HCR_A,Zone-Exits For: 2,D1,L1,,5:5,,,,,Zone-Exits,,Bad,
